name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J033413-161205      	 -.-.-     	 UVES      	   4.363	    5538	    6433	   3.555	   4.291	    61	 47800	     0	 -                                                                                                   
J033413-400825      	 -.-.-     	 UVES      	   1.445	    2525	    2933	   1.077	   1.412	     2	 49800	     0	 -                                                                                                   
J033626-201940      	 -.-.-     	 UVES      	   3.125	    4259	    4948	   2.504	   3.070	     6	 49800	     0	 -                                                                                                   
J033755-120404      	 -.-.-     	 UVES      	   3.442	    4587	    5328	   2.773	   3.383	     9	 49800	     0	 -                                                                                                   
J033829+002156      	 -.-.-     	 UVES      	   5.032	    6228	    7235	   4.123	   4.952	    16	 41100	     0	 -                                                                                                   
J033854-000521      	 -.-.-     	 UVES      	   3.050	    4182	    4858	   2.440	   2.996	     8	 49800	     0	 -                                                                                                   
J033900-013317      	 -.-.-     	 UVES      	   3.197	    4334	    5034	   2.565	   3.141	    18	 54500	     0	 -                                                                                                   
J034943-381030      	 -.-.-     	 UVES      	   3.205	    4342	    5044	   2.572	   3.149	    102	 59800	     0	 +                                                                                                   
J034957-210247      	 -.-.-     	 UVES      	   2.944	    4072	    4731	   2.350	   2.891	     3	 49800	     0	 -                                                                                                   
J035128-142908      	 -.-.-     	 UVES      	   0.616	    1669	    1938	   0.373	   0.594	     7	 49800	     0	 -                                                                                                   
J035230-071102      	 -.-.-     	 UVES      	   0.965	    2029	    2357	   0.669	   0.939	     6	 49800	     0	 -                                                                                                   
J035320-231417      	 -.-.-     	 UVES      	   1.911	    3006	    3492	   1.473	   1.872	     3	 49800	     0	 -                                                                                                   
J035405-272421      	 -.-.-     	 UVES      	   2.819	    3943	    4581	   2.244	   2.768	    19	 49800	     0	 -                                                                                                   
J040114-395132      	 -.-.-     	 UVES      	   1.507	    2589	    3007	   1.129	   1.474	     4	 49800	     0	 -                                                                                                   
J040353-360501      	 -.-.-     	 UVES      	   1.417	    2496	    2899	   1.053	   1.385	     2	 49800	     0	 -                                                                                                   
J040356-170321      	 -.-.-     	 UVES      	   4.227	    5397	    6270	   3.440	   4.157	    12	 47800	     0	 -                                                                                                   
J040718-441013      	 -.-.-     	 UVES      	   3.000	    4130	    4798	   2.397	   2.947	    123	 49800	     3	 +                                                                                                   
J041656-284340      	 -.-.-     	 UVES      	   2.090	    3191	    3706	   1.625	   2.049	    10	 59800	     0	 -                                                                                                   
J041716-055345      	 -.-.-     	 UVES      	   0.775	    1833	    2129	   0.508	   0.751	     5	 49800	     0	 -                                                                                                   
J041950-571612      	 -.-.-     	 UVES      	   4.461	    5639	    6550	   3.638	   4.388	    16	 47800	     0	 -                                                                                                   
J042214-384452      	 -.-.-     	 UVES      	   3.110	    4244	    4930	   2.491	   3.055	    150	 49800	     1	 +                                                                                                   
J042315-012033      	 -.-.-     	 UVES      	   0.914	    1976	    2296	   0.626	   0.888	     2	 49800	     0	 -                                                                                                   
J042353-261801      	 -.-.-     	 UVES      	   2.277	    3384	    3931	   1.783	   2.233	    10	 49800	     0	 -                                                                                                   
J042442-375620      	 -.-.-     	 UVES      	   0.782	    1840	    2137	   0.514	   0.758	     2	 49800	     0	 -                                                                                                   
J042644-520819      	 -.-.-     	 UVES      	   2.250	    3356	    3898	   1.760	   2.207	     6	 49800	     0	 -                                                                                                   
J042707-130253      	 -.-.-     	 UVES      	   2.159	    3262	    3789	   1.683	   2.117	    11	 49800	     0	 -                                                                                                   
